Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestSuit,Chrome 68.0.3440.106,LoginFunctionality,2018-08-23 15:28:32,2018-08-23 15:28:52,19.563s,FAILED
,,,,,,
Test Cases/Testcase3,Chrome 68.0.3440.106,,2018-08-23 15:28:33,2018-08-23 15:28:50,17.480s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 15:28:33,2018-08-23 15:28:36,3.259s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 15:28:36,2018-08-23 15:28:41,5.270s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-23 15:28:41,2018-08-23 15:28:43,1.188s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 68.0.3440.106,,2018-08-23 15:28:43,2018-08-23 15:28:43,0.046s,PASSED
"Statement - title1 = ""Amazon.com:Online""",Chrome 68.0.3440.106,,2018-08-23 15:28:43,2018-08-23 15:28:43,0.003s,PASSED
"Statement - If (title.contains(""Amazon""))",Chrome 68.0.3440.106,,2018-08-23 15:28:43,2018-08-23 15:28:43,0.037s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 15:28:43,2018-08-23 15:28:43,0.781s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 15:28:43,2018-08-23 15:28:44,0.192s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 15:28:44,2018-08-23 15:28:45,1.317s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 15:28:45,2018-08-23 15:28:45,0.115s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 15:28:45,2018-08-23 15:28:49,3.969s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-23 15:28:49,2018-08-23 15:28:50,1.008s,FAILED
